,P.AS9601,P.CCMP1375,P.MED4,P.MIT9211,P.MIT9215,P.MIT9301,P.MIT9303,P.MIT9312,P.MIT9313,P.MIT9515,P.NATL1A,P.NATL2A,S.CC9311,S.CC9605,S.CC9902,S.PCC6301,S.PCC7002,S.PCC7942,S.RCC307,S.WH7803,S.WH8102
P.AS9601,1.0,1.0565295041689884,0.6311746213927819,1.0794506439770395,0.7388650757749499,0.8364129585658079,1.0433146808507872,0.7370364805242277,1.0607891381219652,0.6387703301390557,1.0383872547213655,1.0304585110460336,1.0311411823981254,1.0396661096121227,1.0378499201996496,1.324416968151427,1.3143120671297257,1.306634017410236,1.1388499509202177,1.0547496551025015,1.0292845428525204
P.CCMP1375,1.069424075368948,1.0,1.0903596808421054,0.8890134827476145,1.0776767079781673,1.073505062304664,0.919200259437746,1.0658750909877424,0.929335642758758,1.106853137254014,0.8727736567671127,0.8827054935327896,0.9489262948104644,0.9496330383682176,0.9335599887584164,1.2182699584548269,1.279124756875894,1.201990549344505,1.1155423432314302,0.9715081234828256,0.9368787804010236
P.MED4,0.6299682238407404,1.0757487474488654,1.0,1.0843627035587424,0.619689086113789,0.6662233242006285,1.0393851308866875,0.6392974516171148,1.052665780314914,0.5730609589777397,1.0631837327834035,1.0539539356282532,1.0522558627742251,1.0416353690457854,1.044850183697961,1.3229061369048318,1.3245970299913503,1.306302015831068,1.147191426478206,1.0603345000415862,1.0352331627448093
P.MIT9211,1.0827521886268945,0.8796877176578828,1.0891814664040749,1.0,1.105418475846802,1.0916767344131255,0.9096382259189691,1.088897659813875,0.911390352966245,1.103135607821326,0.8622509099125832,0.8757523858413828,0.956682890178038,0.9607650244086166,0.945768894873639,1.205375664475565,1.2656232542965136,1.1901630711740991,1.097447718652994,0.9670078286033704,0.9475271860740164
P.MIT9215,0.756538019790468,1.0756400644163375,0.6294839004660413,1.1133728602272095,1.0,0.733158606853974,1.0774454488678542,0.6945877016507043,1.0977881421998346,0.6300223141609919,1.053803426053073,1.0479012799402927,1.0543484888552777,1.0740074804129245,1.0636223915624643,1.3287257132120742,1.3413361065150706,1.3106038671240916,1.1708403590574086,1.0870833887831592,1.0653961161060328
P.MIT9301,0.8274960744646435,1.0566532149480583,0.6641169573882028,1.084338613380649,0.7106020475953978,1.0,1.0412172440038652,0.7165073763485402,1.0631615803383898,0.6113267060722088,1.0319699408863068,1.025813172881204,1.0305899888300027,1.0400784014570077,1.0384837173968735,1.305475438867013,1.3087364504476964,1.2884255235989357,1.142130505741401,1.053157668066617,1.0322566998853555
P.MIT9303,1.1598027491755147,1.0173546566351177,1.156835815517388,1.017202025156189,1.185699950426477,1.161760886745358,1.0,1.1895615292859196,1.0931113859032022,1.1739303058900494,0.9142575651938492,0.9379377464203728,0.7796280934037773,0.81940119032126,0.829153015198544,1.368454300282687,1.3023406427292077,1.3539323273999335,0.9341740206656112,0.8063846452761447,0.8079307426557478
P.MIT9312,0.7464331784519159,1.059354373574528,0.6458032221130137,1.0921113843030832,0.68882339515189,0.7311855020410021,1.0763028036011149,1.0,1.081013302498358,0.671939369309001,1.0512254294382668,1.0360605094332935,1.0506230890646042,1.0647242960405874,1.0547108284024904,1.3191330848130085,1.3332052615297514,1.3015688971742052,1.14985553181374,1.0810993600052792,1.0569388293061055
P.MIT9313,1.152370471240766,1.003258087865904,1.1448834799059795,0.9938799170810796,1.1805890932404668,1.1590880319967158,0.99271396647235,1.167555672302815,1.0,1.1605208851237363,0.9164493037137218,0.9395335185135232,0.7563272318110078,0.7791951765709116,0.7901226831677933,1.3478964699088392,1.272635985945555,1.3337426448827754,0.9082494949109968,0.7948089861471765,0.7714969693153367
P.MIT9515,0.6432958373033061,1.0993005765412127,0.5794056980223401,1.1055710385542146,0.6257893708008961,0.618679281846627,1.061807566818822,0.6712841072991338,1.0740953090670595,1.0,1.0772470755778962,1.0648168067352903,1.0671066988740985,1.0536451686365274,1.06521002725665,1.315279682370078,1.337114746724773,1.2995679232496786,1.1617329869782054,1.0641473771994214,1.054043081568128
P.NATL1A,1.0662598966110688,0.8861398790925692,1.0932492106045573,0.8839055495087795,1.0710970727925064,1.063632563470604,0.8395231437550656,1.0729966903872217,0.8624641209444397,1.1003251566472323,1.0,1.0902780484158432,0.8694304736294858,0.8662030980912594,0.8697159589730328,1.161582466814456,1.2589785229618826,1.14751639666703,0.9855811958527596,0.8698456723627375,0.8453834768823135
P.NATL2A,1.0541019821750663,0.8926478634702143,1.0796226717446589,0.8941744915456795,1.0610416585787568,1.053258799595539,0.85792749662974,1.0534994110821052,0.8807668391668906,1.0834859453537298,1.065658530645811,1.0,0.8834827563260664,0.8964541790488818,0.8861850876189572,1.2486478354265764,1.3311170268255057,1.2331174761190071,1.0158305954816615,0.8921007625454279,0.8781444730172826
S.CC9311,1.1393729893338258,1.0416873946107224,1.1639431647295613,1.0606967752278549,1.153422804690144,1.142860746155376,0.7745903635323622,1.1540568732821226,0.7722370018636154,1.1727041847190365,0.9401905439108558,0.9590701511829898,1.0,0.7370991998353312,0.7739654239803506,1.1965178378662462,1.2192672167833565,1.1873378665645251,0.8835377715946293,0.6694179567996555,0.7399969021922436
S.CC9605,1.139108669124578,1.0331633774761504,1.1426660090932477,1.0557444627419117,1.165146120958381,1.1438494959634988,0.8063275189613921,1.1599081653972796,0.7879660110605614,1.148439823930446,0.9282513836843324,0.9643757820722384,0.7296556357215701,1.0,0.6002381998174707,1.1430602293204823,1.191087950629065,1.130524332900722,0.8833841081753465,0.7531410892194121,0.6359023398709978
S.CC9902,1.1087770696403114,0.9888919610925144,1.1176154144708488,1.0113223335209518,1.1251892231386027,1.1133895530757971,0.7924526820380889,1.1203703926442452,0.7757610280384165,1.1320876831949347,0.9078511843394488,0.9285730845364666,0.7422821134309286,0.5793552164607126,1.0,1.181328642907317,1.1783781535164664,1.1677738496123058,0.860952442882049,0.7247889008782799,0.5837725862743907
S.PCC6301,1.454236748164352,1.3270935058365028,1.4542626639435423,1.323134180678453,1.4466375344599085,1.4380643415024743,1.3726855281777068,1.4412565491101743,1.380592255043234,1.4379669778167254,1.2492559926841478,1.347337445950335,1.2061396323529088,1.1611005834998964,1.2277325061849362,1.0,0.9409909254865144,0.90071596719412,1.152623421718102,1.1779063950285285,1.1988302208890542
S.PCC7002,1.4687402295017236,1.4168879676642292,1.4819765224955594,1.412741236072384,1.486458464793322,1.466827500174209,1.3332183263958983,1.4824942165437458,1.328987495711151,1.4875972523726229,1.3779991097249065,1.4617180702767694,1.254423978951189,1.2344398539881678,1.2479300945331613,0.962906305886724,1.0,0.9530238337313248,1.2685417722652443,1.2405038478066233,1.2617232130342353
S.PCC7942,1.4350262555897086,1.3096387453287963,1.4363067331126165,1.3067245618513197,1.4271944617474035,1.4196008956846822,1.3580769197335891,1.4223600155543517,1.3661349234764513,1.4210502804979477,1.234330089578848,1.3307987511238055,1.196869004680986,1.1483723470891736,1.2137450239125522,0.8938107472586347,0.9312412306817576,1.0,1.1424304849109863,1.16645430112934,1.1832614975361715
S.RCC307,1.214726951045492,1.1791654015826607,1.2251122190507375,1.1705161625387397,1.236943103084037,1.2225107582301995,0.8948542899769154,1.219711987181781,0.8923911650064682,1.2328476574679192,1.0269600532842802,1.0623561059981863,0.8500535037571032,0.8573367739515932,0.8606340359091187,1.108088532823312,1.1967113169292445,1.0982005999712925,1.0,0.986320705823212,0.8765624694417361
S.WH7803,1.1415070357046193,1.0436570933156617,1.1489125585286282,1.0493350325138169,1.1648528565896048,1.143989854930626,0.7813927234700734,1.1633031013584734,0.7917584293161157,1.145746982346402,0.9202821276732076,0.9474943831445012,0.6509636213178159,0.7406339950704305,0.736349964164757,1.1459408217926754,1.18367684433697,1.134747994080728,1.001533660545154,1.0,0.8296954046567475
S.WH8102,1.1191254843645764,1.0109866646406775,1.1270867840697467,1.0326115461432168,1.14699724144876,1.1264894738818725,0.7877646980059452,1.1425839401208753,0.7731207984935434,1.14000621272777,0.8987729937303879,0.9372127129417156,0.7254588926315649,0.6285262173052482,0.5982634533421926,1.1717307458365034,1.2092540575108244,1.156480259458588,0.895100940404909,0.8352717689400386,1.0
